# ZScaler Web Proxy Log - Sample Data
# Format: timestamp | user | src_ip | dst_ip | action | url | category | bytes_sent | bytes_received | threat_name | policy | user_agent | status_code | duration_ms

2026-05-13T08:01:12Z | jsmith@corp.com | 192.168.1.101 | 142.250.80.46 | allowed | https://www.google.com/search?q=quarterly+report | Search Engines | 512 | 24680 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 320
2026-05-13T08:03:45Z | jsmith@corp.com | 192.168.1.101 | 13.107.42.14 | allowed | https://outlook.office365.com/mail/inbox | Web-based Email | 1024 | 85432 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 410
2026-05-13T08:05:22Z | agarcia@corp.com | 192.168.1.102 | 104.18.32.68 | allowed | https://slack.com/api/conversations.list | Collaboration | 256 | 12300 | None | default-web-policy | Slack/4.35.126 | 200 | 180
2026-05-13T08:07:58Z | bwilson@corp.com | 192.168.1.103 | 185.199.108.153 | allowed | https://github.com/corp-org/internal-repo | Developer Tools | 2048 | 142000 | None | default-web-policy | git/2.43.0 | 200 | 890
2026-05-13T08:12:33Z | mlee@corp.com | 192.168.1.105 | 52.84.226.10 | allowed | https://s3.amazonaws.com/corp-backups/report_q1.pdf | Cloud Storage | 128 | 5242880 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 2300
2026-05-13T08:15:01Z | rthomas@corp.com | 192.168.1.106 | 93.184.216.34 | blocked | http://www.example-malware-site.com/payload.exe | Malware Sites | 64 | 0 | Trojan.GenericKD | strict-security-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 403 | 45
2026-05-13T08:15:45Z | rthomas@corp.com | 192.168.1.106 | 93.184.216.34 | blocked | http://www.example-malware-site.com/dropper.exe | Malware Sites | 64 | 0 | Trojan.GenericKD | strict-security-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 403 | 38
2026-05-13T08:16:02Z | rthomas@corp.com | 192.168.1.106 | 93.184.216.34 | blocked | http://www.example-malware-site.com/loader.dll | Malware Sites | 64 | 0 | Trojan.GenericKD | strict-security-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 403 | 41
2026-05-13T08:22:14Z | jsmith@corp.com | 192.168.1.101 | 142.250.80.46 | allowed | https://drive.google.com/file/d/1aBcDeFgHiJ | Cloud Storage | 384 | 10240 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 290
2026-05-13T08:35:09Z | unknown | 192.168.1.199 | 45.33.32.156 | allowed | http://nmap.org/dist/nmap-7.94.tar.bz2 | Hacking Tools | 128 | 10485760 | None | default-web-policy | curl/7.88.1 | 200 | 4100
2026-05-13T08:35:44Z | unknown | 192.168.1.199 | 45.33.32.156 | allowed | http://nmap.org/dist/nmap-scripts.tar.gz | Hacking Tools | 128 | 5242880 | None | default-web-policy | curl/7.88.1 | 200 | 2800
2026-05-13T09:02:17Z | agarcia@corp.com | 192.168.1.102 | 104.18.32.68 | allowed | https://slack.com/api/files.upload | Collaboration | 10485760 | 1024 | None | default-web-policy | Slack/4.35.126 | 200 | 8900
2026-05-13T09:15:33Z | pnguyen@corp.com | 192.168.1.108 | 8.8.8.8 | allowed | https://www.youtube.com/watch?v=dQw4w9WgXcQ | Streaming Media | 256 | 52428800 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 18000
2026-05-13T09:44:51Z | bwilson@corp.com | 192.168.1.103 | 140.82.121.4 | allowed | https://github.com/torvalds/linux | Developer Tools | 512 | 98304 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 560
2026-05-13T10:00:00Z | svc-monitor@corp.com | 10.0.0.50 | 192.168.1.101 | allowed | http://internal-monitor/api/health | Internal | 64 | 128 | None | internal-policy | python-requests/2.31.0 | 200 | 12
2026-05-13T10:00:00Z | svc-monitor@corp.com | 10.0.0.50 | 192.168.1.102 | allowed | http://internal-monitor/api/health | Internal | 64 | 128 | None | internal-policy | python-requests/2.31.0 | 200 | 11
2026-05-13T10:00:00Z | svc-monitor@corp.com | 10.0.0.50 | 192.168.1.103 | allowed | http://internal-monitor/api/health | Internal | 64 | 128 | None | internal-policy | python-requests/2.31.0 | 200 | 13
2026-05-13T11:30:22Z | mlee@corp.com | 192.168.1.105 | 104.26.10.229 | allowed | https://wetransfer.com/uploads/secret_financials_2026.zip | File Sharing | 104857600 | 2048 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 45000
2026-05-13T11:58:03Z | jdoe@corp.com | 192.168.1.110 | 77.88.55.66 | blocked | https://rutracker.org/forum/viewtopic.php?t=123456 | Piracy/Copyright | 128 | 0 | None | strict-security-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 403 | 30
2026-05-13T12:01:45Z | jdoe@corp.com | 192.168.1.110 | 77.88.55.77 | blocked | https://thepiratebay.org/torrent/12345 | Piracy/Copyright | 128 | 0 | None | strict-security-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 403 | 28
2026-05-13T13:22:10Z | rthomas@corp.com | 192.168.1.106 | 198.51.100.10 | allowed | https://pastebin.com/raw/aB3cD4eF | Uncategorized | 64 | 4096 | None | default-web-policy | python-requests/2.31.0 | 200 | 95
2026-05-13T13:22:18Z | rthomas@corp.com | 192.168.1.106 | 198.51.100.10 | allowed | https://pastebin.com/raw/xY9zA1bC | Uncategorized | 64 | 8192 | None | default-web-policy | python-requests/2.31.0 | 200 | 88
2026-05-13T13:22:26Z | rthomas@corp.com | 192.168.1.106 | 198.51.100.10 | allowed | https://pastebin.com/raw/mN5oP6qR | Uncategorized | 64 | 16384 | None | default-web-policy | python-requests/2.31.0 | 200 | 91
2026-05-13T13:22:34Z | rthomas@corp.com | 192.168.1.106 | 198.51.100.10 | allowed | https://pastebin.com/raw/sT7uV8wX | Uncategorized | 64 | 32768 | None | default-web-policy | python-requests/2.31.0 | 200 | 87
2026-05-13T13:22:42Z | rthomas@corp.com | 192.168.1.106 | 198.51.100.10 | allowed | https://pastebin.com/raw/yZ0aB1cD | Uncategorized | 64 | 65536 | None | default-web-policy | python-requests/2.31.0 | 200 | 93
2026-05-13T14:05:17Z | agarcia@corp.com | 192.168.1.102 | 203.0.113.42 | allowed | https://dropbox.com/s/abc123/employee_data.csv | Cloud Storage | 20971520 | 1024 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 12000
2026-05-13T02:17:44Z | mlee@corp.com | 192.168.1.105 | 185.220.101.45 | allowed | https://cryptomining-pool.io/mine | Cryptocurrency | 256 | 1024 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 150
2026-05-13T02:18:01Z | mlee@corp.com | 192.168.1.105 | 185.220.101.45 | allowed | https://cryptomining-pool.io/worker/submit | Cryptocurrency | 512 | 256 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 145
2026-05-13T02:18:19Z | mlee@corp.com | 192.168.1.105 | 185.220.101.45 | allowed | https://cryptomining-pool.io/worker/submit | Cryptocurrency | 512 | 256 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 148
2026-05-13T15:45:00Z | unknown | 192.168.1.200 | 142.250.80.46 | allowed | https://www.google.com | Search Engines | 256 | 12000 | None | default-web-policy | Mozilla/5.0 | 200 | 200
2026-05-13T15:45:01Z | unknown | 192.168.1.200 | 142.250.80.46 | allowed | https://www.google.com | Search Engines | 256 | 12000 | None | default-web-policy | Mozilla/5.0 | 200 | 198
2026-05-13T15:45:02Z | unknown | 192.168.1.200 | 142.250.80.46 | allowed | https://www.google.com | Search Engines | 256 | 12000 | None | default-web-policy | Mozilla/5.0 | 200 | 201
2026-05-13T15:45:03Z | unknown | 192.168.1.200 | 142.250.80.46 | allowed | https://www.google.com | Search Engines | 256 | 12000 | None | default-web-policy | Mozilla/5.0 | 200 | 199
2026-05-13T15:45:04Z | unknown | 192.168.1.200 | 142.250.80.46 | allowed | https://www.google.com | Search Engines | 256 | 12000 | None | default-web-policy | Mozilla/5.0 | 200 | 202
2026-05-13T15:45:05Z | unknown | 192.168.1.200 | 142.250.80.46 | allowed | https://www.google.com | Search Engines | 256 | 12000 | None | default-web-policy | Mozilla/5.0 | 200 | 197
2026-05-13T15:45:06Z | unknown | 192.168.1.200 | 142.250.80.46 | allowed | https://www.google.com | Search Engines | 256 | 12000 | None | default-web-policy | Mozilla/5.0 | 200 | 203
2026-05-13T15:45:07Z | unknown | 192.168.1.200 | 142.250.80.46 | allowed | https://www.google.com | Search Engines | 256 | 12000 | None | default-web-policy | Mozilla/5.0 | 200 | 200
2026-05-13T15:45:08Z | unknown | 192.168.1.200 | 142.250.80.46 | allowed | https://www.google.com | Search Engines | 256 | 12000 | None | default-web-policy | Mozilla/5.0 | 200 | 198
2026-05-13T15:45:09Z | unknown | 192.168.1.200 | 142.250.80.46 | allowed | https://www.google.com | Search Engines | 256 | 12000 | None | default-web-policy | Mozilla/5.0 | 200 | 201
2026-05-13T16:30:55Z | pnguyen@corp.com | 192.168.1.108 | 91.108.4.165 | allowed | https://web.telegram.org | Messaging | 512 | 8192 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 340
2026-05-13T17:02:11Z | bwilson@corp.com | 192.168.1.103 | 140.82.121.4 | allowed | https://github.com/corp-org/internal-repo/archive/main.zip | Developer Tools | 512 | 524288000 | None | default-web-policy | git/2.43.0 | 200 | 95000
2026-05-13T17:45:30Z | jsmith@corp.com | 192.168.1.101 | 142.250.80.46 | allowed | https://mail.google.com/mail/u/0/#inbox | Web-based Email | 1024 | 45000 | None | default-web-policy | Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/124.0 | 200 | 380
